GeneSymbol,DiseaseID,InferenceScore
ADNP,MESH:D001321,1
ADNP,MESH:D065886,1
ADORA1,MESH:D001919,1
ADORA1,MESH:D002375,1
ADORA1,MESH:D004342,1
ADORA1,MESH:D064420,1
ADORA1,MESH:D007022,1
ADORA1,MESH:D020244,1
ADORA1,MESH:D007511,1
ADORA1,MESH:D002546,1
ADORA1,MESH:D009203,1
ADORA1,MESH:D009410,1
ADORA1,MESH:D011297,1
ADORA1,MESH:D013345,1
ADORA1,MESH:D013375,1
ADORA1,MESH:D018754,1
ADORA2A,MESH:D019969,1
ADORA2A,MESH:D001008,1
ADORA2A,MESH:D001172,1
ADORA2A,MESH:D009202,1
ADORA2A,MESH:D003866,1
ADORA2A,MESH:D004342,1
ADORA2A,MESH:D064420,1
ADORA2A,MESH:D006948,1
ADORA2A,MESH:D007022,1
ADORA2A,MESH:D008106,1
ADORA2A,MESH:D009069,1
ADORA2A,MESH:D016584,1
ADORA2A,MESH:D011605,1
ADORA2A,MESH:D015427,1
ADORA2A,MESH:D012640,1
ADORA2A,MESH:D018805,1
ADORA2A,MESH:D007319,1
ADORA2A,MESH:D013375,1
ADORA2A,MESH:D014202,1
ADORA2A,MESH:D018754,1
ADORA2A,MESH:D015431,1
ADORA2B,MESH:D009362,1
ADORA2B,MESH:D015427,1
ADORA2B,MESH:D018805,1
ADORA3,MESH:D007511,1
ADORA3,MESH:D008106,1
ADORA3,MESH:D009203,1
ADR-1,MESH:D007246,1
ADRA1A,MESH:D006528,1
ADRA1A,MESH:D003921,1
ADRA1A,MESH:D008103,1
ADRA1A,MESH:D020257,1
ADRA1B,MESH:D006332,1
ADRA1B,MESH:D007022,1
ADRA1B,MESH:D007674,1
ADRA1B,MESH:D008106,1
ADRA1B,MESH:D009410,1
ADRA1B,MESH:D020258,1
ADRA1B,MESH:D012640,1
ADRA1D,MESH:D054144,1
ADRA2A,MESH:D006332,1
ADRA2A,MESH:D004827,1
ADRA2A,MESH:D005355,1
ADRA2A,MESH:D006331,1
ADRA2A,MESH:D006973,1
ADRA2A,MESH:D007022,1
ADRA2A,MESH:D016584,1
ADRA2B,MESH:D006528,1
ADRA2B,MESH:D003490,1
ADRA2B,MESH:D008607,1
ADRA2B,MESH:D008171,1
ADRA2C,MESH:D006332,1
ADRA2C,MESH:D005355,1
ADRA2C,MESH:D006333,1
ADRB1,MESH:D001724,1
ADRB1,MESH:D002311,1
ADRB1,MESH:D002318,1
ADRB1,MESH:D003920,1
ADRB1,MESH:D004719,1
ADRB1,MESH:D006333,1
ADRB1,MESH:D006940,1
ADRB1,MESH:D006973,1
ADRB1,MESH:D017202,1
ADRB1,MESH:D015428,1
ADRB1,MESH:D009765,1
ADRB1,MESH:D013274,1
ADRB1,MESH:D018754,1
ADRB2,MESH:D015526,1
ADRB2,MESH:D001249,1
ADRB2,MESH:D001321,1
ADRB2,MESH:D009202,1
ADRB2,MESH:D002311,1
ADRB2,MESH:D018792,1
ADRB2,MESH:D005355,1
ADRB2,MESH:D015658,1
ADRB2,MESH:D006949,1
ADRB2,MESH:D007008,1
ADRB2,MESH:D007333,1
ADRB2,MESH:D008171,1
ADRB2,MESH:D017202,1
ADRB2,MESH:D009422,1
ADRB2,MESH:D009765,1
ADRB2,MESH:D011471,1
ADRB2,MESH:D013274,1
ADRB2,MESH:D014202,1
ADRB2,MESH:D018487,1
ADRB3,MESH:D003921,1
ADRB3,MESH:D006333,1
ADRB3,MESH:D006949,1
ADRB3,MESH:D017379,1
ADRB3,MESH:D009765,1
ADSL,MESH:D001321,1
ADTRP,MESH:D003324,1
AEN,MESH:D008106,1
AFAP1L2,MESH:D002294,1
AFF2,MESH:D005600,1
AFF3,MESH:D001172,1
AFF3,MESH:D019966,1
AFF4,MESH:D000015,1
AFF4,MESH:D001848,1
AFF4,MESH:D003072,1
AFF4,MESH:D006130,1
AFF4,MESH:D006330,1
AFF4,MESH:D008171,1
AFF4,MESH:D009765,1
AFG3L2,MESH:D020191,1
AFG3L2,MESH:D020754,1
AFM,MESH:D058186,1
AFM,MESH:D064420,1
AFM,MESH:D008106,1
AFP,MESH:D001943,1
AFP,MESH:D006528,1
AFP,MESH:D008106,1
AFP,MESH:D008107,1
AFP,MESH:D008114,1
AFP,MESH:D008325,1
AFP,MESH:D013274,1
AGAP1,MESH:D001321,1
AGBL4,MESH:D001281,1
AGBL4,MESH:D019966,1
AGER,MESH:D001172,1
AGER,MESH:D001249,1
AGER,MESH:D050197,1
AGER,MESH:D000077216,1
AGER,MESH:D003925,1
AGER,MESH:D006930,1
AGER,MESH:D006943,1
AGER,MESH:D006973,1
AGER,MESH:D006984,1
AGER,MESH:D020244,1
AGER,MESH:D007249,1
AGER,MESH:D020961,1
AGER,MESH:D009437,1
AGER,MESH:D010003,1
AGER,MESH:D010182,1
AGER,MESH:D059348,1
AGER,MESH:D011656,1
AGFG1,MESH:D008106,1
AGL,MESH:D008106,1
AGO1,MESH:D000086002,1
AGO2,MESH:D019970,1
AGO2,MESH:D007951,1
AGO2,MESH:D000086002,1
AGPAT1,MESH:D017889,1
AGPAT3,MESH:D019636,1
AGR2,MESH:D001943,1
AGR2,MESH:D011471,1
AGRN,MESH:D015470,1
AGRN,MESH:D020294,1
AGRP,MESH:D009765,1
AGT,MESH:D000419,1
AGT,MESH:D000471,1
AGT,MESH:D000740,1
AGT,MESH:D000784,1
AGT,MESH:D001002,1
AGT,MESH:D001014,1
AGT,MESH:D017544,1
AGT,MESH:D001145,1
AGT,MESH:D050197,1
AGT,MESH:D001919,1
AGT,MESH:D006332,1
AGT,MESH:D009202,1
AGT,MESH:D002310,1
AGT,MESH:D066126,1
AGT,MESH:D018376,1
AGT,MESH:D002318,1
AGT,MESH:D002340,1
